FIR_ID,Crime_Type,Date,District,Police_Station,Status
FIR000092,Cyber Fraud,23-04-2024,Mangaluru,Jayanagar Police Station,Closed
FIR000093,Chain Snatching,27-01-2025,Mangaluru,Whitefield Police Station,Closed
FIR000094,Chain Snatching,22-10-2023,Bengaluru Urban,Marathahalli Police Station,Open
FIR000095,House Burglary,19-03-2026,Shivamogga,Hebbal Police Station,Under Investigation
FIR000096,Cyber Fraud,25-06-2024,Kalaburagi,Whitefield Police Station,Open
FIR000097,Cyber Fraud,02-12-2025,Mysuru,Yelahanka Police Station,Under Investigation
FIR000098,Assault,02-03-2025,Bengaluru Rural,Indiranagar Police Station,Closed
FIR000099,Drug Trafficking,27-11-2024,Shivamogga,Yelahanka Police Station,Open
FIR000100,Cyber Fraud,27-08-2024,Ballari,Marathahalli Police Station,Closed
FIR000101,Assault,08-08-2024,Ballari,Hebbal Police Station,Open
FIR000102,Drug Trafficking,04-02-2025,Bengaluru Rural,Hebbal Police Station,Open
FIR000103,Assault,16-09-2024,Belagavi,Jayanagar Police Station,Under Investigation
FIR000104,Financial Fraud,15-01-2024,Hubballi-Dharwad,Indiranagar Police Station,Open
FIR000105,Assault,12-05-2026,Belagavi,Marathahalli Police Station,Closed
FIR000106,Assault,04-10-2025,Bengaluru Rural,Indiranagar Police Station,Closed
FIR000107,House Burglary,27-06-2023,Mysuru,Electronic City Police Station,Open
FIR000108,House Burglary,13-06-2025,Hubballi-Dharwad,Indiranagar Police Station,Closed
FIR000109,Assault,29-01-2025,Mangaluru,Marathahalli Police Station,Open
FIR000110,Vehicle Theft,24-05-2025,Tumakuru,Koramangala Police Station,Closed
FIR000111,Vehicle Theft,20-04-2026,Tumakuru,Yelahanka Police Station,Closed
FIR000112,Vehicle Theft,03-07-2023,Kalaburagi,Hebbal Police Station,Closed
FIR000113,Cyber Fraud,21-09-2024,Mangaluru,Whitefield Police Station,Open
FIR000114,Assault,25-12-2024,Shivamogga,Yelahanka Police Station,Closed
FIR000115,Cyber Fraud,08-01-2024,Bengaluru Rural,Jayanagar Police Station,Under Investigation
FIR000116,Chain Snatching,07-07-2025,Mysuru,Hebbal Police Station,Under Investigation
FIR000117,Robbery,24-06-2024,Shivamogga,Hebbal Police Station,Closed
FIR000118,Cyber Fraud,04-03-2024,Ballari,Marathahalli Police Station,Open
FIR000119,Cyber Fraud,26-12-2025,Belagavi,Jayanagar Police Station,Under Investigation
FIR000120,Financial Fraud,28-08-2024,Bengaluru Rural,Whitefield Police Station,Closed
FIR000121,Financial Fraud,02-06-2023,Bengaluru Rural,Hebbal Police Station,Under Investigation
FIR000122,House Burglary,25-03-2025,Tumakuru,Koramangala Police Station,Under Investigation
FIR000123,Financial Fraud,08-02-2026,Shivamogga,Marathahalli Police Station,Closed
FIR000124,Chain Snatching,23-07-2023,Bengaluru Rural,Electronic City Police Station,Open
FIR000125,House Burglary,15-06-2023,Bengaluru Urban,Jayanagar Police Station,Under Investigation
FIR000126,House Burglary,12-01-2026,Ballari,Marathahalli Police Station,Open
FIR000127,Financial Fraud,23-05-2024,Mysuru,Hebbal Police Station,Closed
FIR000128,Chain Snatching,13-12-2023,Mysuru,Indiranagar Police Station,Under Investigation
FIR000129,Robbery,18-07-2024,Shivamogga,Hebbal Police Station,Closed
FIR000130,Vehicle Theft,22-10-2023,Shivamogga,Yelahanka Police Station,Open
FIR000131,Financial Fraud,07-04-2025,Ballari,Indiranagar Police Station,Under Investigation
FIR000132,Robbery,22-02-2024,Ballari,Koramangala Police Station,Open
FIR000133,Chain Snatching,19-04-2024,Ballari,Electronic City Police Station,Open
FIR000134,Financial Fraud,27-04-2025,Bengaluru Urban,Jayanagar Police Station,Closed
FIR000135,Chain Snatching,05-04-2025,Kalaburagi,Yelahanka Police Station,Closed
FIR000136,Assault,26-03-2024,Shivamogga,Hebbal Police Station,Closed
FIR000137,House Burglary,13-06-2023,Kalaburagi,Indiranagar Police Station,Open
FIR000138,Assault,01-10-2024,Shivamogga,Indiranagar Police Station,Closed
FIR000139,Chain Snatching,19-08-2025,Ballari,Whitefield Police Station,Closed
FIR000140,House Burglary,15-04-2024,Belagavi,Yelahanka Police Station,Closed
FIR000141,Robbery,06-08-2023,Kalaburagi,Jayanagar Police Station,Under Investigation
FIR000142,Drug Trafficking,13-08-2023,Bengaluru Urban,Indiranagar Police Station,Under Investigation
FIR000143,Vehicle Theft,03-11-2025,Shivamogga,Marathahalli Police Station,Closed
FIR000144,Drug Trafficking,13-05-2025,Mysuru,Jayanagar Police Station,Open
FIR000145,Vehicle Theft,22-03-2026,Mangaluru,Jayanagar Police Station,Closed
FIR000146,Financial Fraud,25-11-2025,Belagavi,Whitefield Police Station,Closed
FIR000147,Drug Trafficking,13-10-2024,Mysuru,Jayanagar Police Station,Closed
FIR000148,Chain Snatching,26-09-2025,Tumakuru,Jayanagar Police Station,Open
FIR000149,Financial Fraud,10-01-2025,Shivamogga,Jayanagar Police Station,Open
FIR000150,Vehicle Theft,05-06-2023,Shivamogga,Hebbal Police Station,Open
FIR000151,Financial Fraud,06-04-2025,Hubballi-Dharwad,Jayanagar Police Station,Under Investigation
FIR000152,House Burglary,24-09-2024,Kalaburagi,Hebbal Police Station,Open
FIR000153,Robbery,02-12-2025,Mangaluru,Koramangala Police Station,Open
FIR000154,Financial Fraud,29-05-2025,Kalaburagi,Hebbal Police Station,Under Investigation
FIR000155,Assault,17-03-2024,Ballari,Yelahanka Police Station,Under Investigation
FIR000156,Assault,20-03-2026,Kalaburagi,Yelahanka Police Station,Open
FIR000157,Robbery,09-10-2025,Bengaluru Urban,Marathahalli Police Station,Open
FIR000158,Cyber Fraud,10-11-2023,Belagavi,Electronic City Police Station,Closed
FIR000159,Robbery,04-05-2024,Ballari,Yelahanka Police Station,Open
FIR000160,Robbery,22-01-2025,Bengaluru Rural,Koramangala Police Station,Closed
FIR000161,Robbery,27-04-2024,Mangaluru,Yelahanka Police Station,Under Investigation
FIR000162,Assault,26-09-2025,Ballari,Indiranagar Police Station,Closed
FIR000163,Cyber Fraud,11-08-2025,Mysuru,Marathahalli Police Station,Open
FIR000164,Robbery,28-05-2024,Mangaluru,Marathahalli Police Station,Closed
FIR000165,Financial Fraud,11-11-2024,Ballari,Hebbal Police Station,Open
FIR000166,Cyber Fraud,03-08-2023,Belagavi,Whitefield Police Station,Under Investigation
FIR000167,Vehicle Theft,24-04-2026,Shivamogga,Yelahanka Police Station,Closed
FIR000168,Robbery,28-05-2026,Mangaluru,Jayanagar Police Station,Open
FIR000169,Cyber Fraud,10-01-2025,Bengaluru Urban,Marathahalli Police Station,Under Investigation
FIR000170,Vehicle Theft,20-02-2024,Ballari,Indiranagar Police Station,Closed
FIR000171,Chain Snatching,13-02-2025,Hubballi-Dharwad,Yelahanka Police Station,Under Investigation
FIR000172,Assault,01-12-2023,Mysuru,Yelahanka Police Station,Under Investigation
FIR000173,Chain Snatching,29-06-2025,Bengaluru Rural,Electronic City Police Station,Open
FIR000174,Financial Fraud,12-12-2025,Tumakuru,Jayanagar Police Station,Under Investigation
FIR000175,Cyber Fraud,14-01-2026,Belagavi,Hebbal Police Station,Closed
FIR000176,Cyber Fraud,20-11-2023,Ballari,Whitefield Police Station,Open
FIR000177,Assault,10-10-2024,Kalaburagi,Hebbal Police Station,Closed
FIR000178,Vehicle Theft,21-12-2025,Mangaluru,Hebbal Police Station,Under Investigation
FIR000179,Drug Trafficking,24-03-2024,Bengaluru Urban,Indiranagar Police Station,Closed
FIR000180,Financial Fraud,17-04-2024,Shivamogga,Koramangala Police Station,Closed
FIR000181,Cyber Fraud,11-02-2026,Tumakuru,Yelahanka Police Station,Open
FIR000182,House Burglary,03-06-2024,Kalaburagi,Whitefield Police Station,Open
FIR000183,Cyber Fraud,30-07-2023,Bengaluru Urban,Electronic City Police Station,Open
FIR000184,Chain Snatching,21-04-2026,Tumakuru,Marathahalli Police Station,Closed
FIR000185,Drug Trafficking,05-03-2024,Mangaluru,Whitefield Police Station,Open
FIR000186,House Burglary,05-10-2024,Bengaluru Rural,Hebbal Police Station,Under Investigation
FIR000187,Drug Trafficking,13-06-2023,Ballari,Yelahanka Police Station,Closed
FIR000188,Assault,19-05-2024,Bengaluru Urban,Koramangala Police Station,Under Investigation
FIR000189,Assault,20-03-2025,Bengaluru Urban,Yelahanka Police Station,Closed
FIR000190,Chain Snatching,20-10-2024,Mangaluru,Koramangala Police Station,Under Investigation
FIR000191,House Burglary,17-05-2026,Belagavi,Electronic City Police Station,Open
FIR000192,Financial Fraud,13-06-2024,Mysuru,Electronic City Police Station,Closed
FIR000193,Assault,30-06-2024,Hubballi-Dharwad,Hebbal Police Station,Closed
FIR000194,Chain Snatching,15-01-2024,Bengaluru Urban,Marathahalli Police Station,Closed
FIR000195,Cyber Fraud,30-12-2025,Shivamogga,Indiranagar Police Station,Closed
FIR000196,Vehicle Theft,21-06-2024,Kalaburagi,Indiranagar Police Station,Closed
FIR000197,House Burglary,11-02-2025,Mangaluru,Marathahalli Police Station,Open
FIR000198,Vehicle Theft,27-03-2025,Mangaluru,Marathahalli Police Station,Closed
FIR000199,House Burglary,30-10-2023,Shivamogga,Koramangala Police Station,Under Investigation
FIR000200,Cyber Fraud,06-08-2025,Kalaburagi,Hebbal Police Station,Open
FIR000201,Vehicle Theft,06-06-2024,Shivamogga,Indiranagar Police Station,Closed
FIR000202,Assault,08-03-2024,Bengaluru Rural,Indiranagar Police Station,Open
FIR000203,Drug Trafficking,27-04-2024,Kalaburagi,Marathahalli Police Station,Open
FIR000204,Vehicle Theft,15-09-2024,Belagavi,Jayanagar Police Station,Open
FIR000205,Financial Fraud,05-11-2023,Bengaluru Urban,Electronic City Police Station,Open
FIR000206,Assault,31-01-2026,Tumakuru,Jayanagar Police Station,Under Investigation
FIR000207,Chain Snatching,05-12-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR000208,Vehicle Theft,18-11-2025,Shivamogga,Jayanagar Police Station,Under Investigation
FIR000209,Chain Snatching,15-12-2024,Hubballi-Dharwad,Whitefield Police Station,Closed
FIR000210,Financial Fraud,04-01-2024,Mangaluru,Indiranagar Police Station,Open
FIR000211,Vehicle Theft,24-07-2023,Shivamogga,Yelahanka Police Station,Open
FIR000212,Chain Snatching,02-10-2023,Bengaluru Urban,Yelahanka Police Station,Open
FIR000213,Robbery,23-05-2026,Bengaluru Urban,Marathahalli Police Station,Closed
FIR000214,Robbery,08-08-2023,Mangaluru,Electronic City Police Station,Open
FIR000215,House Burglary,23-07-2025,Mangaluru,Koramangala Police Station,Under Investigation
FIR000216,Chain Snatching,16-01-2026,Bengaluru Rural,Yelahanka Police Station,Open
FIR000217,Cyber Fraud,15-11-2025,Tumakuru,Koramangala Police Station,Open
FIR000218,Drug Trafficking,23-12-2023,Mysuru,Electronic City Police Station,Under Investigation
FIR000219,Vehicle Theft,05-03-2024,Shivamogga,Hebbal Police Station,Under Investigation
FIR000220,Financial Fraud,26-01-2026,Belagavi,Koramangala Police Station,Closed
FIR000221,Assault,18-11-2025,Mysuru,Hebbal Police Station,Closed
FIR000222,House Burglary,28-07-2025,Mangaluru,Indiranagar Police Station,Open
FIR000223,Drug Trafficking,24-02-2025,Tumakuru,Marathahalli Police Station,Under Investigation
FIR000224,Cyber Fraud,30-11-2025,Kalaburagi,Jayanagar Police Station,Open
FIR000225,Cyber Fraud,11-07-2025,Tumakuru,Yelahanka Police Station,Closed
FIR000226,House Burglary,21-07-2023,Shivamogga,Koramangala Police Station,Under Investigation
FIR000227,Assault,23-03-2026,Belagavi,Koramangala Police Station,Closed
FIR000228,Assault,02-02-2025,Shivamogga,Jayanagar Police Station,Under Investigation
FIR000229,Assault,26-05-2026,Hubballi-Dharwad,Whitefield Police Station,Closed
FIR000230,Robbery,25-11-2024,Tumakuru,Marathahalli Police Station,Open
FIR000231,Chain Snatching,09-07-2024,Mysuru,Koramangala Police Station,Open
FIR000232,Vehicle Theft,14-06-2025,Kalaburagi,Jayanagar Police Station,Under Investigation
FIR000233,Assault,06-10-2024,Tumakuru,Yelahanka Police Station,Closed
FIR000234,House Burglary,01-11-2025,Shivamogga,Koramangala Police Station,Under Investigation
FIR000235,Financial Fraud,24-01-2024,Bengaluru Rural,Jayanagar Police Station,Open
FIR000236,House Burglary,07-06-2024,Tumakuru,Marathahalli Police Station,Closed
FIR000237,Vehicle Theft,03-06-2024,Ballari,Yelahanka Police Station,Under Investigation
FIR000238,Robbery,16-12-2024,Hubballi-Dharwad,Hebbal Police Station,Under Investigation
FIR000239,Cyber Fraud,15-04-2025,Bengaluru Urban,Marathahalli Police Station,Open
FIR000240,Vehicle Theft,17-05-2026,Hubballi-Dharwad,Electronic City Police Station,Closed
FIR000241,Drug Trafficking,17-01-2025,Tumakuru,Marathahalli Police Station,Open
FIR000242,Chain Snatching,22-03-2025,Mysuru,Whitefield Police Station,Open
FIR000243,Chain Snatching,18-02-2024,Hubballi-Dharwad,Whitefield Police Station,Under Investigation
FIR000244,Chain Snatching,12-01-2024,Mangaluru,Whitefield Police Station,Closed
FIR000245,Drug Trafficking,11-02-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR000246,Chain Snatching,31-05-2025,Tumakuru,Hebbal Police Station,Closed
FIR000247,Assault,14-12-2024,Belagavi,Koramangala Police Station,Open
FIR000248,Financial Fraud,03-01-2026,Ballari,Whitefield Police Station,Closed
FIR000249,Financial Fraud,15-08-2025,Kalaburagi,Indiranagar Police Station,Open
FIR000250,Assault,06-08-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR000251,Drug Trafficking,02-01-2026,Mangaluru,Jayanagar Police Station,Open
FIR000252,Cyber Fraud,24-11-2025,Kalaburagi,Indiranagar Police Station,Under Investigation
FIR000253,Cyber Fraud,29-02-2024,Hubballi-Dharwad,Hebbal Police Station,Closed
FIR000254,Financial Fraud,21-10-2024,Tumakuru,Electronic City Police Station,Open
FIR000255,Chain Snatching,02-01-2025,Belagavi,Hebbal Police Station,Under Investigation
FIR000256,House Burglary,10-11-2023,Bengaluru Rural,Marathahalli Police Station,Closed
FIR000257,Assault,15-01-2025,Mysuru,Yelahanka Police Station,Open
FIR000258,Robbery,12-07-2024,Mysuru,Jayanagar Police Station,Under Investigation
FIR000259,Chain Snatching,14-05-2024,Mysuru,Yelahanka Police Station,Under Investigation
FIR000260,Drug Trafficking,11-10-2023,Mangaluru,Yelahanka Police Station,Under Investigation
FIR000261,Drug Trafficking,28-08-2023,Mangaluru,Yelahanka Police Station,Open
FIR000262,Drug Trafficking,06-09-2023,Shivamogga,Whitefield Police Station,Under Investigation
FIR000263,Chain Snatching,13-07-2023,Belagavi,Yelahanka Police Station,Open
FIR000264,Robbery,24-08-2025,Tumakuru,Jayanagar Police Station,Closed
FIR000265,House Burglary,24-11-2023,Hubballi-Dharwad,Electronic City Police Station,Under Investigation
FIR000266,Robbery,24-12-2023,Mysuru,Hebbal Police Station,Under Investigation
FIR000267,House Burglary,01-12-2025,Mysuru,Whitefield Police Station,Open
FIR000268,Drug Trafficking,27-07-2023,Bengaluru Urban,Koramangala Police Station,Open
FIR000269,Robbery,09-08-2023,Kalaburagi,Marathahalli Police Station,Closed
FIR000270,Financial Fraud,08-09-2023,Shivamogga,Yelahanka Police Station,Under Investigation
FIR000271,Cyber Fraud,31-07-2023,Belagavi,Koramangala Police Station,Under Investigation
FIR000272,Assault,27-06-2024,Belagavi,Yelahanka Police Station,Under Investigation
FIR000273,Chain Snatching,10-03-2024,Tumakuru,Indiranagar Police Station,Open
FIR000274,Cyber Fraud,18-08-2025,Tumakuru,Marathahalli Police Station,Under Investigation
FIR000275,Chain Snatching,21-02-2026,Mangaluru,Marathahalli Police Station,Closed
FIR000276,Chain Snatching,15-10-2024,Bengaluru Rural,Indiranagar Police Station,Closed
FIR000277,Vehicle Theft,25-04-2026,Hubballi-Dharwad,Whitefield Police Station,Under Investigation
FIR000278,Assault,11-05-2025,Shivamogga,Marathahalli Police Station,Closed
FIR000279,Vehicle Theft,26-01-2025,Kalaburagi,Indiranagar Police Station,Closed
FIR000280,Cyber Fraud,01-07-2023,Ballari,Yelahanka Police Station,Under Investigation
FIR000281,Robbery,11-10-2025,Bengaluru Rural,Whitefield Police Station,Under Investigation
FIR000282,Assault,02-03-2025,Ballari,Marathahalli Police Station,Open
FIR000283,Robbery,15-02-2024,Ballari,Yelahanka Police Station,Closed
FIR000284,Financial Fraud,20-11-2024,Kalaburagi,Marathahalli Police Station,Under Investigation
FIR000285,Vehicle Theft,08-08-2023,Shivamogga,Hebbal Police Station,Open
FIR000286,House Burglary,17-05-2024,Kalaburagi,Marathahalli Police Station,Open
FIR000287,Chain Snatching,08-08-2024,Shivamogga,Electronic City Police Station,Open
FIR000288,Robbery,27-04-2026,Tumakuru,Koramangala Police Station,Open
FIR000289,House Burglary,20-12-2024,Shivamogga,Yelahanka Police Station,Open
FIR000290,Assault,16-03-2026,Bengaluru Rural,Yelahanka Police Station,Closed
FIR000291,House Burglary,25-04-2024,Belagavi,Whitefield Police Station,Under Investigation
FIR000292,Vehicle Theft,29-09-2024,Ballari,Koramangala Police Station,Open
FIR000293,Vehicle Theft,22-07-2024,Belagavi,Marathahalli Police Station,Closed
FIR000294,House Burglary,15-09-2025,Hubballi-Dharwad,Whitefield Police Station,Closed
FIR000295,House Burglary,24-02-2024,Ballari,Electronic City Police Station,Open
FIR000296,Drug Trafficking,20-01-2025,Tumakuru,Whitefield Police Station,Closed
FIR000297,Assault,12-03-2024,Tumakuru,Koramangala Police Station,Under Investigation
FIR000298,House Burglary,03-11-2024,Mangaluru,Koramangala Police Station,Open
FIR000299,Financial Fraud,01-06-2025,Mangaluru,Jayanagar Police Station,Open
FIR000300,Robbery,07-03-2024,Bengaluru Rural,Whitefield Police Station,Under Investigation
FIR000301,Drug Trafficking,16-03-2025,Mysuru,Whitefield Police Station,Under Investigation
FIR000302,Drug Trafficking,29-04-2026,Mysuru,Koramangala Police Station,Closed
FIR000303,House Burglary,08-09-2023,Hubballi-Dharwad,Jayanagar Police Station,Under Investigation
FIR000304,Financial Fraud,18-09-2023,Bengaluru Rural,Indiranagar Police Station,Under Investigation
FIR000305,Chain Snatching,15-12-2024,Tumakuru,Jayanagar Police Station,Under Investigation
FIR000306,Financial Fraud,19-01-2025,Mysuru,Koramangala Police Station,Under Investigation
FIR000307,Financial Fraud,17-06-2025,Belagavi,Jayanagar Police Station,Under Investigation
FIR000308,House Burglary,12-12-2023,Shivamogga,Whitefield Police Station,Under Investigation
FIR000309,Chain Snatching,04-02-2026,Hubballi-Dharwad,Koramangala Police Station,Closed
FIR000310,Vehicle Theft,06-05-2024,Mysuru,Indiranagar Police Station,Open
FIR000311,Vehicle Theft,26-07-2024,Mangaluru,Koramangala Police Station,Under Investigation
FIR000312,House Burglary,19-01-2024,Belagavi,Marathahalli Police Station,Under Investigation
FIR000313,Assault,29-03-2025,Belagavi,Koramangala Police Station,Open
FIR000314,Chain Snatching,19-10-2025,Tumakuru,Yelahanka Police Station,Open
FIR000315,Cyber Fraud,04-12-2023,Ballari,Hebbal Police Station,Open
FIR000316,Robbery,07-01-2026,Kalaburagi,Indiranagar Police Station,Closed
FIR000317,Vehicle Theft,22-07-2024,Shivamogga,Yelahanka Police Station,Open
FIR000318,Assault,04-07-2024,Mangaluru,Jayanagar Police Station,Closed
FIR000319,Cyber Fraud,15-01-2025,Shivamogga,Indiranagar Police Station,Closed
FIR000320,Vehicle Theft,08-01-2026,Bengaluru Urban,Electronic City Police Station,Closed
FIR000321,Financial Fraud,25-11-2023,Belagavi,Yelahanka Police Station,Closed
FIR000322,Financial Fraud,07-08-2023,Kalaburagi,Yelahanka Police Station,Open
FIR000323,Robbery,06-03-2026,Belagavi,Koramangala Police Station,Under Investigation
FIR000324,Vehicle Theft,29-05-2025,Ballari,Indiranagar Police Station,Closed
